FoulIncidents,HomeTeam,AwayTeam,Matchday,FoulNo,TimeOfFoul,VictName,VictHeight,VictWeight,,PerpName,PerpHeight,PerpWeight,DifferencePerpVict,OutcomeVariable,FoulType,RefName,RefHeight,RefWeight,SecondRef,ThirdRef,GameNumber,,,,TallerAmongPlayers
83,,,,16,P2 - 02:25 ,"#5 ELY, S.(HDB)",194,90,,"#22 COFFEY, C.(MBC)",201,100,7,1,,TamerARIK,180,86,,,3,,,,Perp
84,,,,17,P2 - 01:35 ,"#22 COFFEY, C.(MBC)",201,100,,"#8 UGRAI, M.(HDB)",201,104,0,1,,TamerARIK,180,86,,,3,,,,Vict
85,,,,18,P2 - 01:24 ,"#1 CHAPMAN, B.(HDB)",206,97,,"#8 RICHTER, J.(MBC)",205,98,-1,0,,TamerARIK,180,86,,,3,,,,Vict
86,,,,19,P2 - 00:53 ,"#15 GEIST, J.(HDB)",188,81,,"#8 RICHTER, J.(MBC)",205,98,17,1,,OliverKRAUSE,182,80,,,3,,,,Perp
87,,,,20,P3 - 09:02 ,"#30 GARBACZ, J.(MBC)",197,86,,"#1 CHAPMAN, B.(HDB)",206,97,9,1,offensive,TamerARIK,180,86,,,3,,,,Perp
88,,,,21,P3 - 07:15 ,"#2 WÜRZNER, N.(HDB)",196,85,,"#23 HUSKIC, G.(MBC)",210,102,14,1,,TamerARIK,180,86,,,3,,,,Perp
89,,,,22,P3 - 06:46 ,"#15 GEIST, J.(HDB)",188,81,,"#23 HUSKIC, G.(MBC)",210,102,22,1,,NerminHODZIC,188,82,,,3,,,,Perp
90,,,,23,P3 - 05:18 ,"#44 REBIC, N.(MBC)",188,80,,"#2 WÜRZNER, N.(HDB)",196,85,8,1,,NerminHODZIC,188,82,,,3,,,,Perp
91,,,,24,P3 - 04:54 ,"#1 CHAPMAN, B.(HDB)",206,97,,"#22 COFFEY, C.(MBC)",201,100,-5,0,,NerminHODZIC,188,82,,,3,,,,Vict
92,,,,25,P3 - 04:23 ,"#7 KERUSCH, S.(MBC)",195,105,,"#15 GEIST, J.(HDB)",188,81,-7,0,,TamerARIK,180,86,,,3,,,,Vict
93,,,,26,P3 - 04:05 ,"#22 COFFEY, C.(MBC)",201,100,,"#10 MARTIN, K.(HDB)",196,94,-5,0,,OliverKRAUSE,182,80,,,3,,,,Vict
94,,,,27,P3 - 03:25 ,"#5 ELY, S.(HDB)",194,90,,"#88 YAKHCHALI, B.(MBC)",196,87,2,1,,OliverKRAUSE,182,80,,,3,,,,Perp
95,,,,28,P3 - 02:46 ,"#15 GEIST, J.(HDB)",188,81,,"#30 GARBACZ, J.(MBC)",197,86,9,1,,TamerARIK,180,86,,,3,,,,Perp
96,,,,29,P3 - 01:21 ,"#3 LOWERY, R.(HDB)",188,78,,"#8 RICHTER, J.(MBC)",205,98,17,1,,TamerARIK,180,86,,,3,,,,Perp
97,,,,30,P4 - 09:35 ,"#1 CHAPMAN, B.(HDB)",206,97,,"#7 KERUSCH, S.(MBC)",195,105,-11,0,,OliverKRAUSE,182,80,,,3,,,,Vict
